SZN,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP%,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,1DRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,DB,YDS(t),CPOE,EPA/DB,YPG(t),paYPG,ruYPG,RYOE,EXPLSV%,recYPG,AY/Tgt,AY%,RZ Tgt,10+ Tgt,Quick Tgt,EZ Tgt,FPOE(t),FPOE,PROJ,CSTY%,CL
2025,6144,Trayveon Williams,RB,28.1,FA,94,95,98,17.1,13.1,9.1,11,5,0,363,69,0,0.0%,0,0,0,0,0,0,0.00,36,0,0,0,0.00,0.00,8,-28,0,2,0,9,83,55,6.9,6.1,10,0,3,91,0,35,36,3.6,19.0%,2,3.45,0.200,3,0.545,5,19,0.263,1.0,51,1.6%,1.08,0.039,0,NA,NA,NA,NA,NA,NA,91,NA,NA,18.2,0.0,7.2,-7,10.00%,11.0,NA,NA,NA,NA,NA,NA,0.5,0.5,12.9,0.0%,#N/A
2025,2197,Brandin Cooks,WR,32.2,FA,107,113,120,51.9,39.9,27.9,15,15,5,979,537,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,24,236,3,14,0,36,43,279,11.6,7.8,0,0,0,279,0,0,0,0,54.9%,NA,NA,NA,0,NA,14,36,0.389,0.9,347,7.3%,0.80,0.040,0,NA,NA,NA,NA,NA,NA,279,NA,NA,18.6,0.0,0.0,NA,NA,18.6,14.0,14.7%,1,18,18,1,-0.4,-0.4,58.0,7.0%,8.4
2025,6847,Devin Duvernay,WR,28.2,ARI,197,196,196,4.6,3.6,2.6,17,6,0,1099,40,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,2,26,0,1,0,5,0,26,13.0,5.2,0,0,0,26,0,0,0,0,3.6%,NA,NA,NA,0,NA,1,5,0.200,0.2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,26,NA,NA,4.3,0.0,0.0,NA,NA,4.3,NA,NA,NA,NA,NA,NA,-0.1,-0.4,10.6,0.0%,1.5
2025,7757,Ben Skowronek,WR,28.4,PIT,159,154,151,17.9,15.9,13.9,17,14,3,956,151,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,4,46,0,3,1,6,23,69,17.3,11.5,0,0,0,69,0,0,0,0,15.8%,NA,NA,NA,0,NA,4,6,0.667,0.3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,69,NA,NA,5.3,0.0,0.0,NA,NA,5.3,NA,NA,NA,NA,NA,NA,0.0,0.0,8.5,0.0%,#N/A
2025,11605,Jaheim Bell,TE,24.5,PHI,570,570,570,0,0,0,2,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,1.9,NA,NA
2025,3202,Austin Hooper,TE,31.1,ATL,47,46,46,59.3,48.8,38.3,16,16,6,968,488,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,21,177,0,11,2,26,86,263,12.5,10.1,0,0,0,263,0,0,0,0,50.4%,NA,NA,NA,0,NA,13,26,0.500,0.8,193,5.2%,1.36,0.057,0,NA,NA,NA,NA,NA,NA,263,NA,NA,16.4,0.0,0.0,NA,NA,16.4,8.7,5.1%,5,12,10,2,0.9,0.5,38.9,0.0%,8.4
2025,10223,Eric Gray,RB,26.1,NYG,614,614,614,0,0,0,17,1,0,325,3,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.9%,0,NA,NA,0,NA,0,0,NA,0.0,#N/A,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0.0,0.0,0.0,#N/A,#N/A,0.0,NA,NA,NA,NA,NA,NA,-0.1,-0.2,0.8,NA,NA
2025,6798,Jalen Reagor,WR,26.9,FA,1156,1155,1154,0,0,0,2,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA
2025,6012,Travis Homer,RB,27.3,PIT,616,616,616,-0.2,-0.2,-0.2,15,2,0,642,6,0,0.0%,0,0,0,0,0,0,0.00,-2,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,-2,0,0,-2,-2,0.9%,0,0.00,0.000,0,0.000,0,1,0.000,0.0,#N/A,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,-2,NA,NA,-1.0,0.0,-1.0,#N/A,#N/A,0.0,NA,NA,NA,NA,NA,NA,-0.8,-0.8,5.2,NA,NA
2025,5185,Allen Lazard,WR,30.0,FA,150,149,155,23,18,13,11,10,2,634,235,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,10,37,1,3,1,18,33,70,7.0,3.9,0,0,0,70,0,0,0,0,37.1%,NA,NA,NA,0,NA,4,18,0.222,0.4,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,70,NA,NA,7.0,0.0,0.0,NA,NA,7.0,NA,NA,NA,NA,NA,NA,-1.1,-1.0,28.2,0.0%,5.0
2025,6427,Ashton Dulin,WR,28.6,IND,154,152,149,20,17.5,15,16,12,2,703,139,0,0.0%,0,0,0,0,0,0,0.00,44,0,0,0,0.00,0.00,5,53,0,4,0,10,53,106,21.2,10.6,3,0,2,150,0,0,44,14.67,19.8%,NA,NA,NA,2,NA,6,13,0.462,0.5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,150,NA,NA,13.6,0.0,4.0,NA,NA,9.6,NA,NA,NA,NA,NA,NA,0.4,0.4,10.8,0.0%,5.4
2025,6001,Drew Sample,TE,29.6,CIN,64,65,68,31.9,24.4,16.9,17,14,12,1043,546,0,0.0%,0,0,0,0,0,0,0.00,3,0,0,0,0.00,0.00,15,-3,0,4,1,20,109,106,7.1,5.3,1,0,0,109,0,0,3,3,52.3%,NA,0.00,NA,0,NA,5,21,0.238,0.4,192,3.1%,0.55,0.021,0,NA,NA,NA,NA,NA,NA,109,NA,NA,7.8,0.0,0.2,NA,NA,7.6,0.0,0%,1,1,3,0,0.0,0.0,20.0,0.0%,#N/A
2025,8219,Jelani Woods,TE,27.2,NYJ,107,104,101,3.4,2.9,2.4,5,4,1,336,60,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,3,0,0,0,3,1,4,4.0,1.3,0,0,0,4,0,0,0,0,17.9%,NA,NA,NA,0,NA,0,3,0.000,0.0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,4,NA,NA,1.3,0.0,0.0,NA,NA,1.3,NA,NA,NA,NA,NA,NA,0.0,0.0,1.5,0.0%,NA
2025,10857,Stetson Bennett,QB,28.1,LAR,319,319,319,0,0,0,1,0,0,80,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,-0.5,0.5,NA,NA
2025,9495,Rakim Jarrett,WR,24.9,FA,1124,1123,1122,0,0,0,1,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,-5.4,5.4,NA,NA
2025,8220,Sincere McCormick,RB,25.2,FA,566,566,566,0,0,0,15,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,NA,NA,#N/A,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,#N/A,#N/A,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA
2025,11716,Tip Reiman,TE,24.2,ARI,102,102,105,4.8,3.3,1.8,16,4,3,321,98,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,11,0,1,0,5,7,18,6.0,3.6,0,0,0,18,0,0,0,0,30.5%,NA,NA,NA,0,NA,1,5,0.200,0.3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,18,NA,NA,4.5,0.0,0.0,NA,NA,4.5,NA,NA,NA,NA,NA,NA,-0.5,-0.5,6.7,0.0%,NA
2025,1837,Jimmy Garoppolo,QB,34.1,FA,326,326,326,-1,-1,-1,17,3,0,1060,15,0,0.0%,0,0,0,0,0,0,0.00,-10,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,9,0,0,-10,0,0,-10,-1.11,1.4%,NA,NA,NA,0,NA,0,9,0.000,0.0,NA,NA,NA,NA,0,NA,#N/A,#N/A,#N/A,#N/A,#N/A,-10,#N/A,#N/A,-3.3,0.0,-3.3,NA,NA,0.0,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0%,NA
2025,8116,Pierre Strong Jr.,RB,27.0,GB,568,568,568,0,0,0,14,0,0,66,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0%,0,NA,NA,0,NA,0,0,NA,NA,#N/A,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,#N/A,#N/A,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA
